combinaton	score	biomarker	cor(score,biomarker)	p
M4076-berzosertib	aoc	ACVR1B_cnv	-0.10054713481086422	0.30983564612629955
M4076-berzosertib	aoc	ACVR1B_exp	-0.021758285704433715	0.8264662471437447
M4076-berzosertib	aoc	ACVR1B_lof	0.13375535492957108	0.1758489343832011
M4076-berzosertib	aoc	ACVR1B_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ACVR2A_cnv	-0.16866425820560021	0.0869813677500577
M4076-berzosertib	aoc	ACVR2A_exp	-0.14522140890400814	0.14132258802641068
M4076-berzosertib	aoc	ACVR2A_lof	0.047722436811672174	0.6304685598405609
M4076-berzosertib	aoc	ACVR2A_snv	0.034905461040082464	0.7250091207191484
M4076-berzosertib	aoc	ACVR2B_cnv	0.09417416195636369	0.3416552990144806
M4076-berzosertib	aoc	ACVR2B_exp	0.03819871876184219	0.7002489924063556
M4076-berzosertib	aoc	ACVR2B_lof	-0.019820820010736442	0.8417073354265441
M4076-berzosertib	aoc	ACVR2B_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ACVRL1_cnv	-0.10054713481086422	0.30983564612629955
M4076-berzosertib	aoc	ACVRL1_exp	0.070196075892281	0.4788928452109574
M4076-berzosertib	aoc	ACVRL1_lof	0.01172350286955498	0.9059759067649539
M4076-berzosertib	aoc	ACVRL1_snv	-0.07540695462780068	0.44678082312981793
M4076-berzosertib	aoc	ADA_cnv	-0.14494767749182752	0.14208210343332148
M4076-berzosertib	aoc	ADA_exp	0.09526852767672993	0.33604958053905953
M4076-berzosertib	aoc	ADA_lof	0.0917804738306015	0.3541207102769904
M4076-berzosertib	aoc	ADA_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ADAM10_cnv	-0.11501263902208686	0.24499587996942745
M4076-berzosertib	aoc	ADAM10_exp	0.009495051889892428	0.9237884379438747
M4076-berzosertib	aoc	ADAM10_lof	0.06993993523395989	0.48050268489097814
M4076-berzosertib	aoc	ADAM10_snv		
M4076-berzosertib	aoc	ADAM17_cnv	-0.07106055865901509	0.4734810737421734
M4076-berzosertib	aoc	ADAM17_exp	0.04614020106612203	0.6418595864069012
M4076-berzosertib	aoc	ADAM17_lof	-0.04800555097412321	0.6284393240127547
M4076-berzosertib	aoc	ADAMTS19_cnv	-0.13161831226783713	0.18291674414409734
M4076-berzosertib	aoc	ADAMTS19_exp	0.04544062041585323	0.6469228950200681
M4076-berzosertib	aoc	ADAMTS19_lof	0.07806378368695033	0.4308846410313375
M4076-berzosertib	aoc	ADAMTS19_snv		
M4076-berzosertib	aoc	ADAMTS4_cnv	0.02495946847531984	0.8014272440621923
M4076-berzosertib	aoc	ADAMTS4_exp	0.00793857012587821	0.9362526662195281
M4076-berzosertib	aoc	ADAMTS4_lof		
M4076-berzosertib	aoc	ADAMTS4_snv		
M4076-berzosertib	aoc	ADAMTSL2_cnv	0.10914415886723827	0.270069569675559
M4076-berzosertib	aoc	ADAMTSL2_exp	0.022586369108167657	0.8199713725463312
M4076-berzosertib	aoc	ADAMTSL2_lof	-0.13992419894332017	0.15657481651123686
M4076-berzosertib	aoc	ADAMTSL2_snv		
M4076-berzosertib	aoc	ADCY1_cnv	-0.011220230311000286	0.9099949306644969
M4076-berzosertib	aoc	ADCY1_exp	0.013996151659768509	0.8878580227908818
M4076-berzosertib	aoc	ADCY1_lof	-0.24426929979041107	0.01245662266325817
M4076-berzosertib	aoc	ADCY1_snv	-0.24426929979041107	0.01245662266325817
M4076-berzosertib	aoc	ADCY3_cnv	-0.15153264700498795	0.12465117739768347
M4076-berzosertib	aoc	ADCY3_exp	0.2307119375096558	0.018460270630637748
M4076-berzosertib	aoc	ADCY3_lof	0.1111656714782983	0.2612437856229169
M4076-berzosertib	aoc	ADCY3_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ADM_cnv	-0.06155429281374647	0.5347738694464498
M4076-berzosertib	aoc	ADM_exp	-0.014123381346987172	0.886845345149647
M4076-berzosertib	aoc	ADM_lof	0.02916505578375931	0.7688387951544666
M4076-berzosertib	aoc	ADM_snv		
M4076-berzosertib	aoc	ADNP_cnv	-0.17712362703947657	0.07206097140035171
M4076-berzosertib	aoc	ADNP_exp	0.03451303847440514	0.7279790988388188
M4076-berzosertib	aoc	ADNP_lof	-0.02404097248193826	0.8085921935726562
M4076-berzosertib	aoc	ADNP_snv	-0.02404097248193826	0.8085921935726562
M4076-berzosertib	aoc	ADORA2A_cnv	0.09049147815772421	0.3609490644167125
M4076-berzosertib	aoc	ADORA2A_exp	-0.0220310791323882	0.82432534185857
M4076-berzosertib	aoc	ADORA2A_lof	-0.03897211949601765	0.6944783302533717
M4076-berzosertib	aoc	AES_cnv	-0.014113768723710902	0.8869218499562519
M4076-berzosertib	aoc	AES_exp	-0.04369703043258167	0.6596122355071014
M4076-berzosertib	aoc	AES_lof	-0.07174174248673049	0.4692402315902161
M4076-berzosertib	aoc	AFF1_cnv	-0.040045860488147074	0.6864956051014309
M4076-berzosertib	aoc	AFF1_exp	-0.007904750818127249	0.9365236714846097
M4076-berzosertib	aoc	AFF1_lof	0.14626063913578272	0.1384670335073797
M4076-berzosertib	aoc	AFF1_snv	0.17703602442511723	0.0722041486774549
M4076-berzosertib	aoc	AFF3_cnv	-0.04541303255353196	0.6471228982627231
M4076-berzosertib	aoc	AFF3_exp	-0.005622988518402441	0.9548233419024577
M4076-berzosertib	aoc	AFF3_lof		
M4076-berzosertib	aoc	AFF3_snv		
M4076-berzosertib	aoc	AFF4_cnv	-0.1110891115419455	0.2615744185789948
M4076-berzosertib	aoc	AFF4_exp	0.0744209687150937	0.45276269563769084
M4076-berzosertib	aoc	AFF4_lof	-0.06265336263508137	0.5274912685567742
M4076-berzosertib	aoc	AFF4_snv	-0.164878829566149	0.09440873647548756
M4076-berzosertib	aoc	AGGF1_cnv	-0.09421316084381394	0.3414545259550976
M4076-berzosertib	aoc	AGGF1_exp	0.09990937790752671	0.3129301293126559
M4076-berzosertib	aoc	AGGF1_lof	0.14469704066306321	0.1427802437997154
M4076-berzosertib	aoc	AGGF1_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	AGK_cnv	-0.1294720673606437	0.19022153816950269
M4076-berzosertib	aoc	AGK_exp	0.057316219959678415	0.5633154947262692
M4076-berzosertib	aoc	AGK_lof	0.02667546822292082	0.7880855997276092
M4076-berzosertib	aoc	AGK_snv		
M4076-berzosertib	aoc	AGMO_exp	-0.03914245873847416	0.6932096858951416
M4076-berzosertib	aoc	AGMO_lof	0.18491642302081066	0.060212571657860196
M4076-berzosertib	aoc	AGMO_snv	0.18491642302081066	0.060212571657860196
M4076-berzosertib	aoc	AGO2_cnv	-0.11325342742943947	0.2523371869160815
M4076-berzosertib	aoc	AGO2_exp	0.012098487615905464	0.9029828969409802
M4076-berzosertib	aoc	AGO2_lof	0.14469704066306321	0.1427802437997154
M4076-berzosertib	aoc	AGO2_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	AGR2_cnv	-0.11210792496303104	0.25719786253221794
M4076-berzosertib	aoc	AGR2_exp	-0.1333302261887969	0.17723872182327227
M4076-berzosertib	aoc	AGR2_lof	0.0881006859308553	0.37382778336961464
M4076-berzosertib	aoc	AGTR2_cnv	0.04974261111321667	0.6160497921077048
M4076-berzosertib	aoc	AGTR2_exp	-0.10136132458192126	0.3059141237884902
M4076-berzosertib	aoc	AGTR2_lof	-0.04513700883810701	0.6491253630266183
M4076-berzosertib	aoc	AGTR2_snv	-0.164878829566149	0.09440873647548756
M4076-berzosertib	aoc	AGTRAP_cnv	-0.025825468141127725	0.7946868313442749
M4076-berzosertib	aoc	AGTRAP_exp	0.015573581493799022	0.8753158098339422
M4076-berzosertib	aoc	AGTRAP_lof	0.07154989954498793	0.4704324891427396
M4076-berzosertib	aoc	AHCYL1_cnv	0.024987284814783996	0.801210509258541
M4076-berzosertib	aoc	AHCYL1_exp	0.04341681324444191	0.6616607259874835
M4076-berzosertib	aoc	AHCYL1_lof	0.03189342937605184	0.7479063967752826
M4076-berzosertib	aoc	AHCYL1_snv	0.02667546822292082	0.7880855997276092
M4076-berzosertib	aoc	AHNAK2_exp	0.013291963991830434	0.893466183560648
M4076-berzosertib	aoc	AHSA1_cnv	0.07984778206417437	0.4203946697612051
M4076-berzosertib	aoc	AHSA1_exp	0.13705591466861128	0.1653304712774506
M4076-berzosertib	aoc	AHSA1_lof	-0.06144083925882487	0.5355284647699443
M4076-berzosertib	aoc	AJUBA_cnv	0.014489736478638174	0.883930383904003
M4076-berzosertib	aoc	AJUBA_exp	-0.0038263057370109196	0.9692496952883127
M4076-berzosertib	aoc	AJUBA_lof	-0.10860147331937743	0.2724728006720698
M4076-berzosertib	aoc	AK9_cnv	0.006991748550193386	0.9438424968499768
M4076-berzosertib	aoc	AK9_exp	-0.0788893624883173	0.42601172909590496
M4076-berzosertib	aoc	AK9_lof	0.06623049297989911	0.504138794888376
M4076-berzosertib	aoc	AK9_snv		
M4076-berzosertib	aoc	AKAP12_cnv	-0.08456544318891072	0.3933772216159086
M4076-berzosertib	aoc	AKAP12_exp	0.04100621275871254	0.6793849080216521
M4076-berzosertib	aoc	AKAP12_lof	0.09796727007195138	0.3224765535254571
M4076-berzosertib	aoc	AKAP12_snv	0.07158785199529341	0.4701964931482771
M4076-berzosertib	aoc	AKAP13_exp	-0.011988401368684317	0.9038614316651785
M4076-berzosertib	aoc	AKAP6_cnv	0.06878340081169668	0.4878075206907086
M4076-berzosertib	aoc	AKAP6_exp	-0.019662254803134466	0.8429573615290232
M4076-berzosertib	aoc	AKAP6_lof	-0.12816969812988985	0.19475611189032724
M4076-berzosertib	aoc	AKAP6_snv		
M4076-berzosertib	aoc	AKAP8_cnv	0.08940921916966191	0.3667446403795814
M4076-berzosertib	aoc	AKAP8_exp	0.1844477223881958	0.06087709873575126
M4076-berzosertib	aoc	AKAP8_lof	-0.07593467960425243	0.4435974634978689
M4076-berzosertib	aoc	AKAP8_snv	-0.045303520514641225	0.6479170733364648
M4076-berzosertib	aoc	AKAP8L_cnv	0.08940921916966191	0.3667446403795814
M4076-berzosertib	aoc	AKAP8L_exp	0.08977151030875574	0.36479821232493537
M4076-berzosertib	aoc	AKAP8L_lof	-0.030818111200051356	0.7561354663229074
M4076-berzosertib	aoc	AKAP8L_snv	0.0881006859308553	0.37382778336961464
M4076-berzosertib	aoc	AKAP9_cnv	-0.13081052940577148	0.18564162824661984
M4076-berzosertib	aoc	AKAP9_exp	-0.01741507891695359	0.8607131394246915
M4076-berzosertib	aoc	AKAP9_lof	0.0810255111021935	0.41355132736611994
M4076-berzosertib	aoc	AKAP9_snv	0.0810255111021935	0.41355132736611994
M4076-berzosertib	aoc	AKT1_cnv	0.09903402702935163	0.31720998265778355
M4076-berzosertib	aoc	AKT1_exp	0.13385198398725548	0.17553416436020217
M4076-berzosertib	aoc	AKT1_lof	-0.08488642025986565	0.3915774860273547
M4076-berzosertib	aoc	AKT1S1_cnv	-0.027075595200569305	0.784983303998441
M4076-berzosertib	aoc	AKT1S1_exp	-0.11153558978035377	0.25965026217218407
M4076-berzosertib	aoc	AKT1S1_lof	-0.015606410186341978	0.8750551038853128
M4076-berzosertib	aoc	AKT2_cnv	0.02022179731849646	0.8385480484290945
M4076-berzosertib	aoc	AKT2_exp	0.02548035158011888	0.7973712284654241
M4076-berzosertib	aoc	AKT2_lof	-0.045303520514641225	0.6479170733364648
M4076-berzosertib	aoc	AKT3_cnv	-0.05689056108264657	0.5662216189947715
M4076-berzosertib	aoc	AKT3_exp	0.07318332792805884	0.46033400392613155
M4076-berzosertib	aoc	AKT3_lof	0.06784848672116287	0.49375544232009255
M4076-berzosertib	aoc	AKT3_snv		
M4076-berzosertib	aoc	ALDH3A1_cnv	0.008433563444440375	0.932286970172444
M4076-berzosertib	aoc	ALDH3A1_exp	-0.0007802838378550905	0.9937277418914309
M4076-berzosertib	aoc	ALDH3A1_lof	-0.008888042065137438	0.9286473175744828
M4076-berzosertib	aoc	ALDH3A1_snv	0.008810931111780836	0.9292647524521536
M4076-berzosertib	aoc	ALDH3B1_exp	-0.01506304782123332	0.8793718633198214
M4076-berzosertib	aoc	ALDH6A1_cnv	-0.015582682732771344	0.8752435318708159
M4076-berzosertib	aoc	ALDH6A1_exp	0.01299088859454527	0.8958655712737751
M4076-berzosertib	aoc	ALDH6A1_lof	0.0034942516465088086	0.9719171277033138
M4076-berzosertib	aoc	ALDH6A1_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ALG8_cnv	-0.033778969747623046	0.7335455516250573
M4076-berzosertib	aoc	ALG8_exp	0.016119946091279924	0.8709786636899743
M4076-berzosertib	aoc	ALG8_lof	-0.027654877059153257	0.7804979390421096
M4076-berzosertib	aoc	ALG8_snv		
M4076-berzosertib	aoc	ALK_cnv	-0.15153264700498795	0.12465117739768347
M4076-berzosertib	aoc	ALK_exp	0.004832645555012553	0.9611678317649689
M4076-berzosertib	aoc	ALK_lof	-0.0961847318198463	0.33140158468433384
M4076-berzosertib	aoc	ALK_snv	-0.164878829566149	0.09440873647548756
M4076-berzosertib	aoc	ALKBH1_cnv	0.07984778206417437	0.4203946697612051
M4076-berzosertib	aoc	ALKBH1_exp	0.1960441745066075	0.04609728887664236
M4076-berzosertib	aoc	ALKBH1_lof	0.0034942516465088086	0.9719171277033138
M4076-berzosertib	aoc	ALKBH1_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ALKBH2_cnv	-0.11640243348641423	0.23930155845556064
M4076-berzosertib	aoc	ALKBH2_exp	-0.11888283790010584	0.2293686546807776
M4076-berzosertib	aoc	ALKBH2_lof	0.10101560388549369	0.3075752997763588
M4076-berzosertib	aoc	ALKBH2_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ALKBH3_cnv	-0.05621865627830412	0.570823323262258
M4076-berzosertib	aoc	ALKBH3_exp	0.08363136299645313	0.3986426710426629
M4076-berzosertib	aoc	ALKBH3_lof	0.014385687392482627	0.8847581108925323
M4076-berzosertib	aoc	ALKBH6_cnv	-0.027901757529997795	0.7785885252954936
M4076-berzosertib	aoc	ALKBH6_exp	0.03056433523885578	0.7580815532852039
M4076-berzosertib	aoc	ALKBH6_lof	-0.045303520514641225	0.6479170733364648
M4076-berzosertib	aoc	ALOXE3_cnv	0.03695418755370793	0.7095707210065765
M4076-berzosertib	aoc	ALOXE3_exp	0.07541704809554345	0.44671981711563735
M4076-berzosertib	aoc	ALOXE3_lof	0.025485966515550178	0.7973275351954751
M4076-berzosertib	aoc	ALOXE3_snv	0.060391888238635553	0.5425301197940483
M4076-berzosertib	aoc	ALPK2_cnv	0.012984654358614345	0.8959152643353542
M4076-berzosertib	aoc	ALPK2_exp	-0.020878536382826537	0.8333791791322784
M4076-berzosertib	aoc	ALPK2_lof	0.07427997722881095	0.45362170270228186
M4076-berzosertib	aoc	ALPK2_snv	0.1562572665502377	0.11319268509832635
M4076-berzosertib	aoc	ALPP_cnv	-0.1342098561645225	0.17437199902929917
M4076-berzosertib	aoc	ALPP_exp	-0.14799037241389373	0.13381155346070844
M4076-berzosertib	aoc	ALPP_lof	0.20068863276612636	0.04107952765976833
M4076-berzosertib	aoc	ALPP_snv	0.17703602442511723	0.0722041486774549
M4076-berzosertib	aoc	AMER1_cnv	0.03823553073141906	0.6999739332063308
M4076-berzosertib	aoc	AMER1_exp	0.06092750046365375	0.5389493447772433
M4076-berzosertib	aoc	AMER1_lof	-0.03647704320333095	0.713156084223068
M4076-berzosertib	aoc	AMER1_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	AMN1_cnv	-0.13401064244386124	0.1750182314466496
M4076-berzosertib	aoc	AMN1_exp	0.046659282634972106	0.6381132210351208
M4076-berzosertib	aoc	AMN1_lof	0.0881006859308553	0.37382778336961464
M4076-berzosertib	aoc	AMPH_cnv	-0.12034206658693483	0.22366200398710742
M4076-berzosertib	aoc	AMPH_exp	-0.007402768783689999	0.9405470542521253
M4076-berzosertib	aoc	AMPH_lof	0.060391888238635553	0.5425301197940483
M4076-berzosertib	aoc	AMPH_snv	0.060391888238635553	0.5425301197940483
M4076-berzosertib	aoc	ANAPC1_cnv	-0.12245345900582198	0.21558318280659072
M4076-berzosertib	aoc	ANAPC1_exp	0.025410073124511302	0.7979181612723566
M4076-berzosertib	aoc	ANAPC1_lof	0.06784848672116287	0.49375544232009255
M4076-berzosertib	aoc	ANAPC1_snv		
M4076-berzosertib	aoc	ANGPT4_cnv	-0.09638969492471246	0.33036741882730064
M4076-berzosertib	aoc	ANGPT4_exp	0.021366346258360723	0.8295444424846448
M4076-berzosertib	aoc	ANGPT4_lof	-0.04713065282660034	0.6347190692800203
M4076-berzosertib	aoc	ANGPT4_snv		
M4076-berzosertib	aoc	ANK1_cnv	-0.004024383410016954	0.9676586718359411
M4076-berzosertib	aoc	ANK1_exp	0.011849648795225223	0.9049689008430039
M4076-berzosertib	aoc	ANK1_lof	0.07396801342141729	0.455525594325956
M4076-berzosertib	aoc	ANK1_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	ANK3_exp	-0.049349444203276055	0.6188447896599862
M4076-berzosertib	aoc	ANKRD11_exp	-0.053885360544265355	0.5869382119146792
M4076-berzosertib	aoc	ANKRD11_lof	0.06784848672116287	0.49375544232009255
M4076-berzosertib	aoc	ANKRD11_snv	0.06784848672116287	0.49375544232009255
M4076-berzosertib	aoc	ANKRD12_cnv	-0.017714788251630077	0.8583408087793535
M4076-berzosertib	aoc	ANKRD12_exp	0.08471457071140233	0.3925404425017934
M4076-berzosertib	aoc	ANKRD12_lof	0.03451893618396279	0.7279344331777661
M4076-berzosertib	aoc	ANKRD12_snv	0.02367864422143741	0.8114230131893087
M4076-berzosertib	aoc	ANKRD28_cnv	0.09656223993560743	0.3294984195453789
M4076-berzosertib	aoc	ANKRD28_exp	0.12111814646861696	0.22066805273951856
M4076-berzosertib	aoc	ANKRD28_lof	-0.07675021067047996	0.4387031882046523
M4076-berzosertib	aoc	ANKRD44_cnv	-0.11198346025560725	0.25772982926521
M4076-berzosertib	aoc	ANKRD44_exp	0.15503940684194523	0.11606498650913559
M4076-berzosertib	aoc	ANKRD44_lof	-0.08033847143167039	0.4175355291534423
M4076-berzosertib	aoc	ANKRD44_snv	-0.08033847143167039	0.4175355291534423
M4076-berzosertib	aoc	ANKRD52_cnv	-0.09771087104015794	0.32375072232709934
M4076-berzosertib	aoc	ANKRD52_exp	0.12010480423474149	0.22458299787651592
M4076-berzosertib	aoc	ANKRD52_lof	0.09132473114421792	0.35652572692277823
M4076-berzosertib	aoc	ANKRD52_snv	0.053714335284153446	0.5881275167720517
M4076-berzosertib	aoc	ANLN_cnv	-0.12303785393266219	0.21338416873932511
M4076-berzosertib	aoc	ANLN_exp	0.12920929290838895	0.19113023751084776
M4076-berzosertib	aoc	ANLN_lof	0.07158785199529341	0.4701964931482771
M4076-berzosertib	aoc	ANLN_snv	0.07158785199529341	0.4701964931482771
M4076-berzosertib	aoc	ANP32E_cnv	0.06132469726502303	0.5363014883727185
M4076-berzosertib	aoc	ANP32E_exp	0.23836644377724203	0.01482101551868982
M4076-berzosertib	aoc	ANP32E_lof		
M4076-berzosertib	aoc	ANXA1_cnv	0.07004381025675221	0.4798494821798685
M4076-berzosertib	aoc	ANXA1_exp	0.018252088023166066	0.8540910126016105
M4076-berzosertib	aoc	ANXA1_lof	0.02367864422143741	0.8114230131893087
M4076-berzosertib	aoc	ANXA4_cnv	-0.12059128217257019	0.2226974797490945
M4076-berzosertib	aoc	ANXA4_exp	-0.12638857478959475	0.2010833572666868
M4076-berzosertib	aoc	ANXA4_lof	0.13643189111053394	0.1672825247953446
M4076-berzosertib	aoc	ANXA4_snv	0.12243431721967793	0.21565548224363712
M4076-berzosertib	aoc	AP3B1_cnv	-0.09421316084381394	0.3414545259550976
M4076-berzosertib	aoc	AP3B1_exp	0.003219652240639706	0.9741232544845068
M4076-berzosertib	aoc	AP3B1_lof	0.07806378368695033	0.4308846410313375
M4076-berzosertib	aoc	AP3B1_snv		
M4076-berzosertib	aoc	AP3B2_cnv	-0.04957604278593042	0.617233248878139
M4076-berzosertib	aoc	AP3B2_exp	-0.023969299460643974	0.809151970222755
M4076-berzosertib	aoc	AP3B2_lof	-0.027697171769265155	0.7801707319314186
M4076-berzosertib	aoc	APAF1_cnv	-0.0071431082446343636	0.9426288250187441
M4076-berzosertib	aoc	APAF1_exp	0.16847557799665802	0.08734022686814691
M4076-berzosertib	aoc	APAF1_lof	-0.1776405873233217	0.07122071245643095
M4076-berzosertib	aoc	APAF1_snv	-0.164878829566149	0.09440873647548756
M4076-berzosertib	aoc	APC_cnv	-0.13024824519460426	0.18755575284522108
M4076-berzosertib	aoc	APC_exp	0.15906691848250065	0.10677677763048489
M4076-berzosertib	aoc	APC_lof	-0.01709886849356268	0.8632174261244825
M4076-berzosertib	aoc	APC_snv	0.011080270274829412	0.9111130285093209
M4076-berzosertib	aoc	APEX1_cnv	0.06308467832451493	0.5246469845739776
M4076-berzosertib	aoc	APEX1_exp	0.15900391205678605	0.10691747346350684
M4076-berzosertib	aoc	APEX1_lof	-0.15899739617242215	0.10693203194369308
